ip,country_code,region_code,city,zip_code,latitude,longitude,handle,name,last_changed,registration
48.64.228.76,US,NJ,Newark,07102,40.7355,-74.1741,NET-48-0-0-0-1,PRU48,2012-04-02,1990-12-07
238.141.80.68,,,,,0.0,0.0,NET-224-0-0-0-1,MCAST-NET,2013-08-30,1991-05-22
222.205.103.49,CN,33,Hangzhou,,30.2936,120.1614,NET-222-0-0-0-1,APNIC8,2010-07-30,2003-02-13
104.187.137.53,US,OK,Ada,74820,34.8058,-96.7046,NET-104-176-0-0-1,SIS-80-7-29-2014,2014-08-12,2014-08-12
104.49.44.95,US,MO,Springfield,65802,37.219,-93.3176,NET-104-48-0-0-1,SIS-80-4-11-2014,2014-05-06,2014-05-06
144.86.221.75,US,CA,Palo Alto,94306,37.4135,-122.1312,NET-144-86-0-0-1,MTI,2014-05-09,1990-11-20
39.249.34.115,ID,,,,-6.175,106.8286,NET-39-0-0-0-1,APNIC-39,2011-02-10,2011-01-09
22.48.156.74,US,,,,37.751,-97.822,NET-22-0-0-0-1,DNIC-SNET-022,2009-04-15,1989-06-26
50.10.66.225,US,FL,Orange Park,32073,30.1672,-81.7715,NET-50-8-0-0-1,CLEARWIRE-DNS-NET,2013-05-03,2010-07-15
248.136.242.186,,,,,0.0,0.0,NET-240-0-0-0-0,SPECIAL-IPV4-FUTURE-USE-IANA-RESERVED,2013-08-30,NA
252.15.255.178,,,,,0.0,0.0,NET-240-0-0-0-0,SPECIAL-IPV4-FUTURE-USE-IANA-RESERVED,2013-08-30,NA
187.120.56.102,BR,CE,Sobral,,-3.6867,-40.3515,NET-187-0-0-0-1,LACNIC-187,2010-07-21,2007-09-28
144.96.34.153,US,TX,Nacogdoches,75962,31.6995,-94.6074,NET-144-96-0-0-1,SFASU,2012-04-02,1990-11-28
82.181.163.171,FI,18,Helsinki,00150,60.2257,24.8636,NET-82-0-0-0-1,82-RIPE,2004-03-16,2002-11-23
95.0.254.207,TR,,,,41.0214,28.9948,NET-95-0-0-0-1,95-RIPE,2009-05-18,2007-07-30
40.12.74.0,US,,,,37.751,-97.822,NET-40-0-0-0-1,LILLY-NET,2015-02-23,1991-04-23
189.153.4.11,MX,NLE,Monterrey,64820,25.6167,-100.2667,NET-189-0-0-0-1,NET189,2010-07-21,2005-06-17
246.198.127.48,,,,,0.0,0.0,NET-240-0-0-0-0,SPECIAL-IPV4-FUTURE-USE-IANA-RESERVED,2013-08-30,NA
37.113.171.49,RU,CHE,Chelyabinsk,454047,55.1544,61.4297,NET-37-0-0-0-1,RIPE-37,2011-01-17,2010-11-30
145.219.141.22,NL,FR,Leeuwarden,8921,53.2046,5.8105,NET-145-0-0-0-0,NET145,2013-01-14,1993-05-01
117.224.41.85,IN,CH,Chandigarh,,30.7343,76.7933,NET-117-0-0-0-1,APNIC-117,2010-07-30,2007-01-17
89.186.226.16,RU,,,,55.7386,37.6068,NET-89-0-0-0-1,89-RIPE,2009-05-18,2005-06-30
151.60.101.103,IT,42,Genoa,16100,44.4167,8.95,NET-151-0-0-0-0,RIPE-ERX-151,2009-05-18,1993-05-01
124.168.77.247,AU,VIC,Carlton North,3054,-37.7833,144.9667,NET-124-0-0-0-1,APNIC-124,2010-07-30,2005-01-27
213.6.20.139,PS,WBK,Ramallah,,31.9,35.2,NET-213-0-0-0-1,RIPE-213,2009-03-25,NA
87.232.22.123,IE,,,,53.3472,-6.2439,NET-87-0-0-0-1,87-RIPE,2009-05-18,2004-04-01
189.105.180.198,BR,MG,Belo Horizonte,,-19.9553,-43.8988,NET-189-0-0-0-1,NET189,2010-07-21,2005-06-17
50.146.50.89,US,,,,37.751,-97.822,NET-50-146-0-0-1,XFINITYWIFI-6,2012-07-24,2012-07-24
220.1.93.80,JP,13,Tokyo,100-0001,35.6427,139.7677,NET-220-0-0-0-1,APNIC6,2010-07-30,NA
60.200.13.132,CN,36,Nanchang,,28.55,115.9333,NET-60-0-0-0-1,APNIC-60,2010-07-30,2003-04-06
127.35.204.88,,,,,0.0,0.0,NET-127-0-0-0-1,SPECIAL-IPV4-LOOPBACK-IANA-RESERVED,2013-08-30,NA
121.187.105.134,KR,42,Gangneung,,37.7556,128.8961,NET-121-0-0-0-1,APNIC-121,2010-07-30,2006-01-06
228.108.44.133,,,,,0.0,0.0,NET-224-0-0-0-1,MCAST-NET,2013-08-30,1991-05-22
219.221.26.177,CN,50,Chongqing,,29.5628,106.5528,NET-219-0-0-0-1,APNIC5,2010-07-30,NA
174.119.66.59,CA,ON,London,N5Y,43.0123,-81.2307,NET-174-112-0-0-1,ROGERS-COM-HSD,2017-01-06,2009-03-04
99.118.117.194,US,,,,37.751,-97.822,NET-99-118-116-0-1,SBC-99-118-116-0-22-1005191115,2010-05-19,2010-05-19
130.80.208.222,US,TX,Houston,77002,29.7702,-95.3628,NET-130-80-0-0-1,HC-BLK-1,2012-03-02,1988-06-28
140.162.14.52,US,VA,Reston,20190,38.9599,-77.3428,NET-140-162-0-0-1,LEIDOS-140-162-0-0-16,2016-08-12,1990-05-04
88.103.151.214,CZ,,,,50.0848,14.4112,NET-88-0-0-0-1,88-RIPE,2009-05-18,2004-04-01
18.194.0.94,DE,HE,Frankfurt am Main,60313,50.1167,8.6833,NET-18-194-0-0-2,AMAZO-ZFRA,2017-05-25,2017-05-25
16.157.23.146,US,CA,Palo Alto,94304,37.3762,-122.1826,NET-16-0-0-0-1,HPE-15,2017-06-07,1989-05-18
215.55.139.56,US,,,,37.751,-97.822,NET-215-0-0-0-1,DNIC-NET-215,2011-06-21,1998-06-05
33.164.147.68,US,,,,37.751,-97.822,NET-33-0-0-0-1,DISN-IP-LEGACY,2013-09-11,1991-01-01
185.116.95.166,BG,,,,42.7,23.3333,NET-185-0-0-0-1,RIPE-185,2011-02-08,2011-01-04
98.130.93.6,US,OH,Columbus,43228,39.9649,-83.1383,NET-98-130-0-0-1,ECOMMERCE-HOSTING,2012-03-02,2007-10-15
106.189.130.28,JP,,,,35.69,139.69,NET-106-0-0-0-1,APNIC-106,2011-02-10,2011-01-09
33.158.133.125,US,,,,37.751,-97.822,NET-33-0-0-0-1,DISN-IP-LEGACY,2013-09-11,1991-01-01
118.250.114.31,CN,43,Changsha,,28.1792,113.1136,NET-118-0-0-0-1,APNIC-118,2010-07-30,2007-01-17
227.7.75.88,,,,,0.0,0.0,NET-224-0-0-0-1,MCAST-NET,2013-08-30,1991-05-22
94.85.231.77,IT,45,Cognento,41100,44.6333,10.8667,NET-94-0-0-0-1,94-RIPE,2009-05-18,2007-07-30
35.108.45.71,US,MI,Ann Arbor,48104,42.2734,-83.7133,NET-35-0-0-0-1,MICH-1,2015-09-18,1994-04-01
213.21.103.136,SE,,,,59.3247,18.056,NET-213-0-0-0-1,RIPE-213,2009-03-25,NA
133.213.101.225,JP,,,,35.69,139.69,NET-133-0-0-0-1,JAPAN-INET,2013-01-14,1997-03-01
80.61.26.64,NL,NH,Amsterdam,1079,52.3424,4.9037,NET-80-0-0-0-1,80-RIPE,2009-03-25,NA
245.242.184.165,,,,,0.0,0.0,NET-240-0-0-0-0,SPECIAL-IPV4-FUTURE-USE-IANA-RESERVED,2013-08-30,NA
246.164.209.152,,,,,0.0,0.0,NET-240-0-0-0-0,SPECIAL-IPV4-FUTURE-USE-IANA-RESERVED,2013-08-30,NA
65.179.205.85,US,,,,37.751,-97.822,NET-65-176-0-0-1,SPRINT-IPDIAL-2BLK,2012-03-02,2001-08-07
42.127.115.0,JP,22,Hamamatsu,432-8033,34.7,137.7333,NET-42-0-0-0-1,APNIC-42,2011-04-12,2010-10-26
229.161.184.54,,,,,0.0,0.0,NET-224-0-0-0-1,MCAST-NET,2013-08-30,1991-05-22
174.139.106.77,US,CA,Orange,92867,33.8138,-117.7986,NET-174-139-0-0-1,VPLSNET,2012-03-02,2008-11-11
234.155.136.31,,,,,0.0,0.0,NET-224-0-0-0-1,MCAST-NET,2013-08-30,1991-05-22
111.139.168.80,CN,11,Beijing,,39.9289,116.3883,NET-111-0-0-0-1,APNIC-AP,2010-07-30,2008-11-12
54.14.109.166,US,NJ,Woodbridge,07095,40.5525,-74.2915,NET-54-0-0-0-1,MERCK2,2014-06-20,1992-03-17
5.74.8.20,IR,07,Tehran,,35.7261,51.3304,NET-5-0-0-0-1,RIPE-5,2010-12-13,2010-11-30
188.13.248.49,IT,32,Toblach,39034,46.7439,12.2031,NET-188-0-0-0-1,188-RIPE,2004-03-16,NA
92.132.106.127,FR,,,,48.8582,2.3387,NET-92-0-0-0-1,92-RIPE,2009-05-18,2007-03-27
27.226.113.9,CN,62,Lanzhou,,36.0564,103.7922,NET-27-0-0-0-1,APNIC-27,2010-07-30,NA
13.25.106.52,US,CT,Norwalk,06850,41.1271,-73.4416,NET-13-0-0-0-1,XEROX-NET,2016-08-09,1986-04-25
43.225.167.176,IN,,,,20.0,77.0,NET-43-0-0-0-1,APNIC-ERX-43,2013-01-14,1989-02-21
161.39.14.173,US,IL,Chicago,60690,41.85,-87.65,NET-161-39-0-0-1,HARRISTRSV,1992-05-15,1992-05-15
148.220.163.107,MX,QUE,Querétaro City,76120,20.6,-100.3833,NET-148-201-0-0-1,LACNIC-ERX-148-201-0-0,2007-12-17,2003-10-29
